,ANCSTRY1,ANCSTRY2,RLABOR,WWII,WEEK89
93,900,999,1,0,49
94,900,999,1,0,0
95,900,999,0,0,0
96,900,999,0,0,0
97,900,999,0,0,0
98,939,999,1,0,52
99,939,999,1,0,2
100,920,999,6,1,0
101,50,999,6,0,0
102,920,999,6,0,0
103,50,920,1,0,52
104,50,920,1,0,52
105,50,920,1,0,52
106,50,920,1,0,24
107,999,999,6,0,0
108,32,999,1,1,52
109,32,999,6,0,0
110,32,999,6,0,0
111,32,999,1,0,50
112,939,999,6,1,0
113,939,999,6,0,0
114,22,999,1,0,52
115,50,920,1,0,52
116,999,999,1,0,52
117,50,999,6,0,0
118,50,999,1,0,52
119,920,999,1,0,44
120,920,999,1,0,36
121,900,999,6,0,0
122,900,999,1,0,52
123,900,999,6,0,0
124,900,999,6,0,0
125,900,999,0,0,0
126,900,999,6,0,0
127,939,999,6,0,0
128,22,999,1,0,10
129,22,999,1,0,16
130,22,999,6,0,32
131,939,999,2,0,50
132,939,999,2,0,25
133,50,999,1,0,52
134,50,999,1,0,52
135,50,999,1,0,52
136,50,920,6,0,0
137,50,920,1,0,52
138,50,920,1,0,15
139,50,920,1,0,30
140,50,920,0,0,0
141,50,920,0,0,0
142,999,999,6,0,0
143,50,999,6,1,0
144,50,999,1,0,52
145,924,999,1,0,52
146,924,999,6,0,0
147,924,999,0,0,0
148,924,999,0,0,0
149,924,999,1,0,52
150,924,999,6,0,0
151,924,999,0,0,0
152,924,999,0,0,0
153,924,999,6,1,0
154,924,999,6,0,0
155,924,999,6,0,0
156,924,999,1,0,40
157,924,999,6,0,0
158,924,999,0,0,0
159,924,999,0,0,0
160,900,999,6,1,0
161,900,999,6,0,0
162,50,999,1,0,52
163,50,999,6,0,4
164,22,920,1,0,16
165,97,50,1,0,52
166,22,920,0,0,0
167,32,999,1,0,52
168,920,999,1,0,52
169,32,920,0,0,0
170,939,999,6,0,0
171,939,999,6,0,0
172,939,999,0,0,0
173,939,999,1,0,44
174,939,999,1,0,0
175,939,999,0,0,0
176,939,999,0,0,0
177,999,999,6,0,0
178,50,999,6,0,0
179,50,999,1,0,52
180,50,999,1,0,52
181,50,920,6,0,0
182,88,999,1,0,52
183,50,999,6,0,0
184,88,999,6,0,0
185,32,50,1,0,52
186,32,50,6,0,0
187,32,50,0,0,0
188,32,50,0,0,0
189,26,920,6,0,0
190,50,920,6,0,40
191,26,50,1,0,52
192,87,999,6,1,0
193,22,999,6,0,0
194,999,999,1,0,52
195,22,50,1,0,40
196,920,999,6,0,52
197,939,999,6,0,0
198,939,999,1,0,52
199,939,999,1,0,52
200,939,999,0,0,0
201,939,999,0,0,0
202,939,999,6,0,0
203,939,999,6,0,0
204,32,999,1,0,39
205,999,999,1,0,37
206,939,999,1,0,52
207,88,999,6,0,0
208,22,999,1,0,52
209,22,999,6,0,16
210,22,999,0,0,0
211,22,999,6,0,0
212,22,999,6,0,0
213,22,999,1,0,52
214,939,999,6,1,0
215,939,999,6,0,0
216,999,999,3,0,52
217,939,999,1,0,52
218,939,999,1,0,52
219,999,999,6,0,52
220,999,999,6,0,0
221,999,999,1,0,50
222,999,999,6,0,0
223,999,999,1,0,50
224,50,999,6,0,0
225,900,999,6,0,0
226,999,999,1,0,52
227,999,999,6,0,0
228,999,999,1,0,20
229,999,999,0,0,0
230,900,999,1,0,26
231,900,999,6,0,0
232,900,999,0,0,0
233,50,920,1,0,52
234,999,999,1,0,52
235,999,999,1,0,22
236,999,999,6,0,6
237,999,999,6,0,12
238,999,999,1,0,52
239,999,999,1,0,38
240,999,999,1,0,52
241,999,999,0,0,0
242,999,999,6,0,14
243,26,50,1,0,52
244,26,50,1,0,52
245,26,50,1,0,30
246,26,50,3,0,6
247,22,999,6,0,0
248,22,999,6,0,0
249,920,999,1,0,52
250,50,999,6,0,0
251,920,999,0,0,0
252,939,999,6,0,0
253,920,999,1,0,52
254,50,32,6,0,0
255,999,999,0,0,0
256,939,999,1,0,52
257,939,999,1,0,22
258,939,999,0,0,0
259,939,999,0,0,0
260,88,97,6,0,0
261,21,999,6,0,0
262,88,999,6,0,0
263,50,999,1,0,52
264,50,999,3,0,45
265,50,999,0,0,0
266,999,999,0,0,0
267,22,999,6,0,0
268,939,999,1,0,52
269,939,999,1,0,52
270,939,999,0,0,0
271,999,999,0,0,0
272,999,999,6,0,6
273,21,50,6,0,0
274,32,999,1,0,27
275,999,999,1,0,50
276,32,999,0,0,0
277,32,21,1,0,52
278,920,21,6,0,0
279,920,21,1,0,12
280,32,50,1,0,52
281,21,50,6,0,0
282,21,920,0,0,0
283,21,50,0,0,0
284,999,999,6,1,0
285,999,999,6,0,0
286,900,999,6,0,0
287,900,999,1,0,40
288,900,999,6,0,0
289,939,999,1,0,52
290,939,999,1,0,32
291,939,999,1,0,52
292,939,999,1,0,52
293,21,50,6,0,0
294,920,50,6,0,0
295,939,999,6,1,0
296,32,999,6,1,0
297,999,999,6,0,0
298,32,999,1,0,52
299,26,999,2,0,52
300,939,999,1,0,52
301,939,999,6,0,0
302,50,999,1,0,52
303,87,999,1,0,52
304,22,999,1,0,52
305,32,999,1,0,52
306,32,22,0,0,0
307,88,999,1,0,52
308,50,999,1,0,7
309,939,999,1,0,52
310,939,999,6,0,0
311,939,999,1,0,52
312,22,999,6,0,0
313,22,999,1,0,45
314,22,999,6,0,0
315,939,999,1,0,52
316,939,999,1,0,52
317,939,999,1,0,52
318,939,999,1,0,10
319,50,999,6,1,0
320,50,999,6,0,0
321,999,999,6,1,0
322,999,999,1,0,52
323,939,999,6,1,0
324,999,999,6,0,0
325,939,999,1,0,52
326,939,999,1,0,52
327,11,999,6,1,0
328,11,999,6,0,0
329,939,999,6,0,52
330,939,999,1,0,52
331,939,999,0,0,0
332,939,999,0,0,0
333,999,999,1,0,52
334,939,999,1,0,52
335,939,999,6,0,0
336,939,999,0,0,0
337,924,999,1,0,52
338,924,999,1,0,52
339,924,999,1,0,52
340,939,999,1,0,52
341,920,999,1,0,0
342,939,999,1,0,12
343,939,999,0,0,0
344,939,999,0,0,0
345,939,999,0,0,0
346,939,999,0,0,0
347,32,999,1,0,52
348,51,999,6,0,4
349,32,999,0,0,0
350,32,999,6,0,0
351,32,999,0,0,0
352,50,999,6,0,0
353,50,999,6,0,20
354,50,999,1,0,28
355,900,999,6,0,0
356,900,999,1,0,52
357,900,999,0,0,0
358,900,999,6,0,0
359,900,999,1,0,50
360,900,999,1,0,2
361,900,999,1,0,51
362,900,999,1,0,51
363,939,999,6,0,0
364,50,32,6,1,0
365,50,32,6,0,0
366,50,32,1,0,32
367,920,22,1,0,28
368,32,50,1,0,52
369,32,50,1,0,40
370,32,50,6,0,40
371,32,50,0,0,0
372,939,999,1,0,52
373,939,999,3,0,25
374,939,999,1,0,25
375,939,999,1,0,0
376,999,999,6,1,0
377,939,999,1,0,48
378,939,999,6,0,0
379,939,999,0,0,0
380,50,999,1,0,52
381,920,50,1,0,49
382,50,920,0,0,0
383,50,920,0,0,0
384,939,999,1,0,50
385,939,999,6,0,0
386,939,999,1,0,50
387,939,999,1,0,46
388,939,999,6,0,0
389,939,999,0,0,0
390,939,999,0,0,0
391,32,142,1,0,47
392,32,50,0,0,0
393,939,999,1,0,52
394,939,999,0,0,0
395,939,999,6,0,0
396,50,999,1,0,50
397,109,148,1,0,52
398,22,999,3,0,0
399,924,999,1,0,20
400,924,999,0,0,0
401,924,999,0,0,0
402,924,999,0,0,0
403,50,999,1,0,52
404,50,999,1,0,47
405,924,999,1,0,52
406,920,999,1,0,52
407,32,999,6,0,0
408,32,999,1,0,52
409,32,999,3,0,0
410,32,999,0,0,0
411,24,999,6,0,0
412,924,999,6,0,0
413,924,999,6,0,30
414,924,999,1,0,3
415,924,999,6,0,0
416,924,999,0,0,0
417,924,999,0,0,0
418,939,999,1,0,52
419,939,999,1,0,52
420,939,999,0,0,0
421,22,920,6,1,0
422,22,999,6,0,0
423,939,999,1,0,52
424,939,999,6,0,0
425,939,999,0,0,0
426,939,999,0,0,0
427,32,50,6,0,0
428,32,50,6,0,0
429,939,999,6,0,0
430,939,999,6,0,0
431,939,999,1,0,48
432,939,999,6,0,0
433,939,999,0,0,0
434,939,999,0,0,0
435,939,999,0,0,0
436,939,999,1,0,8
437,939,999,0,0,0
438,22,50,6,0,4
439,87,999,1,0,52
440,50,999,1,0,52
441,26,32,1,0,24
442,50,22,6,0,0
443,939,999,1,0,52
444,939,999,6,0,0
445,939,999,0,0,0
446,939,999,0,0,0
447,22,999,1,0,48
448,22,999,6,0,0
449,22,999,1,0,50
450,22,999,6,0,0
451,22,999,0,0,0
452,50,999,6,0,0
453,50,999,6,0,0
454,32,999,6,0,5
455,50,999,6,1,8
456,50,999,1,0,52
457,920,999,1,0,52
458,920,999,1,0,52
459,920,999,0,0,0
460,999,999,0,0,0
461,22,999,6,0,0
462,22,999,6,0,0
463,999,999,1,0,52
464,999,999,1,0,20
465,999,999,2,0,24
466,999,999,1,0,52
467,999,999,1,0,47
468,21,50,1,0,52
469,21,50,6,0,0
470,21,50,0,0,0
471,21,50,0,0,0
472,148,129,6,0,0
473,128,999,6,0,0
474,32,50,1,0,52
475,32,999,1,0,52
476,32,50,0,0,0
477,924,999,1,0,52
478,924,999,6,0,0
479,924,999,1,0,50
480,924,999,0,0,0
481,900,999,1,0,52
482,999,999,1,0,44
483,999,999,6,0,0
484,999,999,0,0,0
485,50,999,1,0,52
486,999,999,6,0,0
487,32,999,1,1,52
488,22,999,1,0,40
489,32,22,6,0,0
490,32,22,0,0,0
491,50,999,1,0,52
492,920,999,6,0,0
493,920,50,0,0,0
494,32,22,1,0,52
495,22,26,6,0,0
496,32,26,1,0,52
497,22,999,1,0,52
498,22,999,1,0,52
499,22,999,1,0,36
500,22,999,0,0,0
501,615,999,1,0,52
502,615,999,6,0,0
503,615,999,0,0,0
504,22,999,1,0,40
505,22,999,1,0,0
506,22,999,0,0,0
507,999,999,1,0,52
508,50,999,1,0,52
509,50,999,6,0,30
510,142,999,1,0,52
511,142,999,1,0,50
512,142,999,1,0,52
513,142,999,0,0,0
514,87,999,1,0,52
515,26,999,1,0,52
516,26,87,0,0,0
517,50,999,1,0,40
518,50,999,6,0,0
519,999,999,6,0,0
520,999,999,0,0,0
521,939,999,6,1,0
522,939,999,6,0,0
523,11,87,1,0,52
524,32,87,1,0,52
525,87,22,0,0,0
526,87,32,0,0,0
527,940,999,6,1,0
528,940,999,6,0,0
529,939,999,1,0,52
530,939,999,6,0,0
531,939,999,1,0,52
532,939,999,6,0,0
533,999,999,1,0,52
534,999,999,1,0,52
535,32,50,1,0,52
536,32,50,6,0,0
537,939,999,1,0,28
538,50,999,1,0,52
539,939,999,1,0,25
540,939,999,1,0,52
541,939,999,1,0,12
542,50,999,1,0,52
543,32,50,1,0,52
544,50,32,6,0,6
545,91,32,6,0,12
546,26,50,6,1,0
547,50,21,6,0,0
548,999,999,1,0,52
549,939,999,6,0,8
550,939,999,6,0,0
551,939,999,6,1,0
552,32,920,1,0,52
553,32,920,0,0,0
554,32,920,0,0,0
555,22,999,1,0,52
556,50,999,6,0,0
557,153,999,6,0,8
558,22,999,1,0,52
559,22,32,1,0,20
560,22,32,0,0,0
561,22,32,0,0,0
562,22,32,0,0,0
563,22,32,0,0,0
564,939,999,6,0,0
565,999,999,6,0,0
566,939,999,1,0,44
567,939,999,1,0,51
568,22,999,1,0,52
569,22,999,1,0,26
570,22,999,0,0,0
571,50,999,1,0,52
572,939,999,1,0,52
573,939,999,6,0,0
574,999,999,0,0,0
575,210,999,1,0,52
576,210,999,1,0,52
577,210,999,1,0,30
578,50,999,6,0,0
579,32,50,1,0,52
580,32,50,0,0,0
581,939,999,1,0,52
582,939,999,1,0,0
583,939,999,1,0,0
584,999,999,1,0,52
585,999,999,2,0,46
586,999,999,1,0,52
587,920,999,1,0,52
588,26,999,2,0,42
589,26,999,6,0,38
590,26,999,0,0,0
591,939,999,1,0,52
592,939,999,6,0,0
593,939,999,6,0,0
594,22,50,1,0,52
595,22,50,1,0,36
596,939,999,6,0,0
597,939,999,1,0,26
598,22,999,1,0,52
599,22,999,6,0,0
600,22,999,1,0,52
601,22,999,6,0,25
602,22,999,0,0,0
603,50,999,6,0,0
604,32,999,6,0,0
605,939,999,6,1,0
606,45,999,1,0,52
607,26,22,1,0,40
608,939,999,1,0,50
609,22,999,1,0,40
610,22,999,0,0,0
611,939,999,1,0,52
612,939,999,1,0,52
613,939,999,1,0,51
614,939,999,6,0,10
615,22,999,1,0,52
616,22,999,1,0,30
617,22,999,1,0,52
618,22,999,0,0,0
619,88,999,1,0,26
620,32,999,6,0,2
621,88,999,6,0,6
622,939,999,6,1,0
623,939,999,6,0,0
624,920,999,6,1,0
625,939,999,6,0,0
626,920,999,1,0,52
627,50,999,6,0,0
628,939,999,6,0,0
629,88,999,1,0,52
630,87,920,1,0,52
631,87,920,0,0,0
632,87,920,0,0,0
633,22,111,6,0,0
634,50,999,6,0,0
635,50,999,1,0,49
636,50,999,0,0,0
637,50,999,0,0,0
638,939,999,1,0,52
639,939,999,6,0,0
640,939,999,0,0,0
641,999,999,1,0,0
642,999,999,1,0,52
643,999,999,6,0,0
644,999,999,6,0,0
645,939,999,1,0,52
646,50,999,6,0,0
647,50,999,1,0,52
648,50,999,1,0,52
649,50,32,1,0,50
650,32,999,1,0,26
651,32,50,6,0,0
652,999,999,0,0,0
653,999,999,6,0,0
654,999,999,6,0,0
655,939,999,6,0,0
656,939,999,6,0,0
657,22,50,1,0,50
658,50,999,1,0,50
659,22,50,0,0,0
660,939,999,6,0,0
661,939,999,6,0,0
662,939,999,1,0,52
663,939,999,1,0,52
664,939,999,1,0,52
665,939,999,2,0,41
666,999,999,1,0,52
667,939,999,1,0,52
668,939,999,1,0,45
669,939,999,6,0,0
670,50,999,1,0,52
671,50,999,1,0,17
672,32,999,1,0,52
673,32,999,1,0,52
674,22,999,6,1,0
675,22,999,6,0,18
676,32,50,6,1,24
677,50,999,6,0,0
678,50,999,1,0,52
679,310,999,6,0,0
680,21,50,0,0,0
681,21,50,0,0,0
682,21,50,0,0,0
683,21,50,0,0,0
684,939,999,1,0,52
685,939,999,1,0,52
686,50,999,1,0,50
687,920,50,6,0,0
688,50,920,0,0,0
689,50,920,0,0,0
690,939,999,6,1,0
691,939,999,6,0,0
692,939,999,3,0,0
693,939,999,6,0,0
694,939,999,1,0,50
695,939,999,6,0,0
696,939,999,0,0,0
697,999,999,0,0,0
698,999,999,0,0,0
699,50,999,1,0,52
700,32,999,1,0,52
701,939,999,1,0,52
702,939,999,6,0,40
703,22,999,1,1,14
704,22,999,1,0,52
705,32,999,1,0,52
706,50,999,1,0,35
707,32,50,0,0,0
708,999,999,1,0,52
709,999,999,6,0,0
710,999,999,0,0,0
711,999,999,3,0,0
712,939,999,6,1,3
713,939,999,6,0,0
714,924,999,1,0,50
715,939,999,1,0,52
716,939,999,6,0,0
717,50,999,6,0,0
718,939,999,1,0,48
719,939,999,1,0,52
720,939,999,6,0,0
721,939,999,0,0,0
722,939,999,0,0,0
723,900,999,1,0,52
724,900,999,0,0,0
725,88,999,1,0,52
726,920,999,1,0,52
727,920,999,1,0,24
728,920,999,0,0,0
729,939,999,6,1,0
730,939,999,6,0,17
731,22,999,1,0,47
732,939,999,6,0,0
733,939,999,0,0,0
734,999,999,1,0,52
735,999,999,1,0,52
736,32,999,1,0,52
737,50,999,1,0,52
738,50,32,1,0,6
739,924,999,1,0,52
740,924,999,1,0,7
741,924,999,0,0,0
742,924,999,0,0,0
743,939,999,1,0,52
744,939,999,1,0,52
745,50,999,1,0,52
746,50,920,1,0,52
747,936,999,1,0,20
748,936,920,0,0,0
749,936,920,0,0,0
750,936,920,0,0,0
751,26,88,6,1,0
752,999,999,6,0,0
753,920,21,3,0,5
754,22,999,1,0,52
755,920,50,1,0,48
756,939,999,0,0,0
757,939,999,1,0,52
758,939,999,1,0,52
759,920,999,1,0,52
760,939,999,1,0,52
761,939,999,1,0,52
762,939,999,0,0,0
763,87,999,6,1,0
764,50,999,6,0,15
765,22,999,6,0,0
766,22,32,6,0,0
767,939,999,6,0,0
768,50,22,6,0,0
769,939,999,6,0,0
770,939,999,6,1,0
771,939,999,6,0,0
772,900,999,1,0,52
773,900,999,3,0,18
774,900,999,1,0,20
775,900,999,0,0,0
776,900,999,0,0,0
777,939,999,1,0,0
778,939,999,1,0,45
779,939,999,0,0,0
780,999,999,0,0,0
781,195,999,2,0,52
782,195,999,6,0,0
783,195,999,0,0,0
784,195,999,0,0,0
785,22,999,6,0,0
786,920,999,6,0,0
787,920,999,1,0,30
788,920,999,0,0,0
789,50,999,1,0,52
790,50,999,1,0,52
791,22,999,6,1,0
792,22,999,6,0,0
793,21,32,6,0,0
794,900,999,1,0,52
795,900,999,6,0,16
796,900,999,0,0,0
797,900,999,0,0,0
798,900,999,6,0,0
799,900,999,1,0,52
800,900,999,1,0,52
801,900,999,6,0,0
802,900,999,6,0,0
803,900,999,0,0,0
804,900,999,6,0,0
805,900,999,1,0,11
806,900,999,6,0,0
807,939,999,6,0,0
808,939,999,6,0,0
809,939,999,6,0,0
810,939,999,0,0,0
811,900,999,1,0,30
812,900,999,1,0,52
813,900,999,6,0,0
814,900,999,0,0,0
815,900,999,0,0,0
816,22,999,1,0,52
817,999,999,1,0,52
818,999,999,1,0,44
819,999,999,6,0,0
820,999,999,1,0,52
821,32,50,6,0,0
822,32,50,6,0,0
823,939,999,1,0,0
824,939,999,6,0,0
825,939,999,0,0,0
826,939,999,0,0,0
827,22,999,1,0,50
828,22,26,6,0,0
829,22,999,1,0,50
830,22,999,0,0,0
831,22,999,0,0,0
832,32,999,1,0,52
833,50,999,1,0,44
834,88,999,1,0,52
835,20,999,6,0,0
836,88,20,6,0,0
837,88,20,6,0,0
838,22,999,1,0,52
839,22,999,1,0,52
840,22,999,0,0,0
841,939,999,1,0,52
842,939,999,1,0,52
843,596,999,6,0,26
844,939,999,1,0,52
845,939,999,1,0,52
846,939,999,1,0,52
847,939,999,1,0,52
848,939,999,0,0,0
849,939,999,0,0,0
850,939,999,6,0,0
851,32,999,6,1,0
852,22,999,6,0,0
853,50,999,6,0,0
854,924,999,1,0,35
855,999,999,6,0,0
856,22,999,1,0,52
857,50,111,1,0,52
858,22,999,0,0,0
859,22,999,0,0,0
860,50,999,6,1,0
861,50,999,6,0,0
862,50,999,1,0,52
863,50,999,1,0,52
864,920,999,1,0,52
865,900,999,1,0,52
866,900,999,1,0,52
867,88,22,6,0,0
868,939,999,6,0,0
869,50,999,6,0,0
870,939,999,1,0,52
871,939,999,1,0,52
872,939,999,6,0,12
873,939,999,6,0,0
874,939,999,6,0,0
875,939,999,1,0,5
876,939,999,1,0,23
877,939,999,1,0,0
878,939,999,3,0,0
879,939,999,0,0,0
880,939,999,0,0,0
881,939,999,0,0,0
882,900,999,6,1,0
883,900,999,1,0,52
884,900,999,6,0,52
885,900,999,1,0,52
886,900,999,0,0,0
887,26,999,1,0,52
888,50,999,1,0,20
889,26,50,0,0,0
890,26,50,0,0,0
891,900,999,1,0,52
892,900,999,1,0,52
893,900,999,1,0,52
894,900,999,1,0,45
895,900,999,6,0,0
896,900,999,6,0,0
897,900,999,0,0,0
898,900,999,0,0,0
899,900,999,0,0,0
900,900,999,6,0,0
901,999,999,6,0,0
902,939,999,3,0,0
903,939,999,6,0,0
904,939,999,6,0,0
905,939,999,0,0,0
906,999,999,1,0,52
907,999,999,6,0,0
908,999,999,0,0,0
909,900,999,6,0,0
910,900,999,1,0,52
911,900,999,1,0,52
912,900,999,6,0,10
913,900,999,0,0,0
914,22,999,1,0,52
915,22,999,0,0,0
916,939,999,1,0,52
917,939,999,1,0,52
918,900,999,1,0,52
919,900,999,1,0,15
920,50,999,2,0,12
921,50,999,6,0,10
922,50,999,6,0,0
923,50,999,0,0,0
924,940,999,1,0,52
925,940,999,1,0,52
926,21,50,1,0,52
927,26,999,1,0,52
928,32,999,1,0,52
929,32,999,0,0,0
930,142,148,1,0,50
931,88,22,6,0,0
932,148,142,0,0,0
933,148,142,0,0,0
934,939,999,6,0,0
935,999,999,1,0,52
936,999,999,1,0,32
937,87,999,1,0,52
938,22,999,1,0,48
939,999,999,1,0,52
940,87,999,1,0,20
941,939,999,1,0,52
942,22,999,6,1,0
943,22,999,6,0,0
944,999,999,6,1,0
945,999,999,6,0,0
946,900,999,1,0,52
947,900,999,6,0,0
948,900,999,6,0,0
949,900,999,0,0,0
950,999,999,6,0,0
951,32,50,1,1,52
952,88,999,6,0,0
953,939,999,6,0,0
954,939,999,6,0,0
955,22,999,1,0,52
956,22,999,6,0,0
957,22,999,6,0,0
958,22,999,0,0,0
959,999,999,1,0,0
960,22,50,6,0,0
961,900,999,3,0,40
962,939,999,3,0,15
963,50,26,6,0,0
964,32,88,1,0,45
965,50,999,6,1,0
966,999,999,6,0,0
967,50,22,6,0,0
968,88,22,6,0,0
969,50,999,1,0,48
970,999,999,1,0,52
971,999,999,1,0,52
972,999,999,0,0,0
973,999,999,0,0,0
974,999,999,6,0,0
975,22,999,1,0,52
976,999,999,1,0,52
977,87,22,1,0,52
978,999,999,1,0,48
979,900,999,1,0,52
980,900,999,0,0,0
981,900,999,6,0,0
982,999,999,3,0,0
983,999,999,0,0,0
984,999,999,0,0,0
985,900,999,6,0,0
986,900,999,3,0,0
987,900,999,0,0,0
988,900,999,0,0,0
989,900,999,1,0,52
990,900,999,6,0,0
991,900,999,6,0,0
992,900,999,3,0,0
993,939,999,6,0,0
994,999,999,6,0,12
995,22,999,6,0,0
996,32,22,6,0,0
997,939,999,1,0,52
998,939,999,6,0,0
999,939,999,0,0,0
1000,26,22,1,0,52
1001,50,51,1,0,26
1002,26,22,0,0,0
1003,26,22,0,0,0
1004,999,999,6,0,0
1005,22,999,6,0,0
1006,920,50,1,0,41
1007,51,999,2,0,40
1008,939,999,2,0,25
1009,939,999,1,0,52
1010,939,999,6,0,0
1011,939,999,1,0,52
1012,109,999,1,1,52
1013,109,999,1,0,52
1014,32,50,6,0,25
1015,900,999,6,0,3
1016,50,999,6,0,10
1017,142,50,1,0,52
1018,900,999,1,0,6
1019,50,999,1,0,52
1020,999,999,3,0,52
1021,920,999,1,0,48
1022,22,999,6,0,9
1023,920,999,0,0,0
1024,920,999,0,0,0
1025,999,999,6,0,3
1026,88,999,1,0,52
1027,32,999,1,0,52
1028,939,999,6,0,0
1029,996,999,3,0,12
1030,996,999,0,0,0
1031,996,999,0,0,0
1032,996,999,0,0,0
1033,50,999,6,0,14
1034,22,999,6,0,0
1035,999,999,1,0,52
1036,999,999,0,0,0
1037,999,999,0,0,0
1038,940,999,1,0,52
1039,940,999,1,0,52
1040,940,999,0,0,0
1041,32,999,1,0,44
1042,97,920,1,0,52
1043,50,999,1,0,30
1044,999,999,1,0,14
1045,999,999,1,0,52
1046,920,999,1,0,48
1047,50,999,1,0,36
1048,210,999,1,0,25
1049,87,999,1,0,52
1050,50,22,6,0,0
1051,22,21,1,0,40
1052,939,999,6,0,0
1053,939,999,1,1,52
1054,21,50,1,0,52
1055,920,999,1,0,52
1056,924,999,1,0,40
1057,924,999,6,0,0
1058,924,999,6,0,0
1059,924,999,0,0,0
1060,924,999,0,0,0
1061,999,999,0,0,0
1062,939,999,6,0,0
1063,939,999,6,0,0
1064,939,999,6,0,40
1065,939,999,6,0,0
1066,939,999,6,0,52
1067,939,999,6,0,0
1068,32,50,3,0,26
1069,32,50,6,0,1
1070,32,50,0,0,0
1071,920,999,6,0,0
1072,50,999,6,0,0
1073,50,920,1,0,37
1074,900,999,1,0,52
1075,900,999,1,0,52
1076,900,999,0,0,0
1077,939,999,6,0,0
1078,939,999,6,0,0
1079,939,999,6,0,0
1080,939,999,0,0,0
1081,939,999,3,0,10
1082,939,999,0,0,0
1083,939,999,0,0,0
1084,939,999,0,0,0
1085,82,999,6,0,26
1086,998,50,6,0,0
1087,82,999,0,0,0
1088,82,999,0,0,0
1089,82,999,0,0,0
1090,82,999,0,0,0
1091,82,999,0,0,0
1092,82,999,0,0,0
1093,939,999,1,0,52
1094,32,999,1,0,48
1095,32,999,0,0,0
1096,32,999,0,0,0
1097,32,999,1,0,6
1098,32,999,1,0,12
1099,32,999,1,0,48
1100,939,999,1,0,52
1101,939,999,6,0,0
1102,939,999,1,0,52
1103,939,999,6,0,0
1104,939,999,1,0,52
1105,939,999,1,0,52
1106,50,920,6,1,0
1107,50,920,1,0,0
1108,50,32,1,0,52
1109,50,999,1,0,52
1110,50,999,6,0,0
1111,22,999,1,0,52
1112,22,999,6,0,12
1113,22,999,0,0,0
1114,22,999,0,0,0
1115,21,50,1,0,52
1116,50,32,1,0,52
1117,50,32,0,0,0
1118,50,32,0,0,0
1119,22,32,1,0,52
1120,32,22,1,0,52
1121,22,32,1,0,41
1122,50,999,6,0,0
1123,50,999,6,0,0
1124,50,999,6,0,0
1125,50,999,6,0,0
1126,50,999,1,0,0
1127,22,999,2,0,52
1128,87,999,6,0,0
1129,920,999,6,0,0
1130,939,999,6,0,0
1131,22,999,1,1,52
1132,22,920,1,0,40
1133,939,999,1,0,52
1134,939,999,6,0,10
1135,939,999,0,0,0
1136,999,999,1,0,52
1137,999,999,1,0,52
1138,706,999,1,0,52
1139,706,999,6,0,30
1140,706,999,0,0,0
1141,939,999,6,0,0
1142,50,999,1,0,52
1143,50,999,1,0,47
1144,50,999,6,1,0
1145,50,999,6,0,0
1146,939,999,1,0,52
1147,939,999,0,0,0
